je_id,line_no,posted_at,account_code,account_name,debit,credit,memo,doc_ref
JE-EDGE-1001,1,2026-03-25,1210,Gateway Receivable,5000.00,,UPI capture INV-2026-8001,INV-2026-8001
JE-EDGE-1001,2,2026-03-25,4000,Revenue,,4237.29,Rev INV-2026-8001,INV-2026-8001
JE-EDGE-1001,3,2026-03-25,2310,GST Output,,762.71,GST INV-2026-8001,INV-2026-8001
JE-EDGE-1002,1,2026-03-25,1210,Gateway Receivable,10000.00,,Card capture INV-2026-8002,INV-2026-8002
JE-EDGE-1002,2,2026-03-25,4000,Revenue,,8474.58,Rev INV-2026-8002,INV-2026-8002
JE-EDGE-1002,3,2026-03-25,2310,GST Output,,1525.42,GST INV-2026-8002,INV-2026-8002
JE-EDGE-1003,1,2026-03-31,1210,Gateway Receivable,2360.00,,Netbanking capture INV-2026-8003,INV-2026-8003
JE-EDGE-1003,2,2026-03-31,4000,Revenue,,2000.00,Rev INV-2026-8003,INV-2026-8003
JE-EDGE-1003,3,2026-03-31,2310,GST Output,,360.00,GST INV-2026-8003,INV-2026-8003
JE-EDGE-1004,1,2026-03-26,1210,Gateway Receivable,999.00,,UPI capture INV-2026-8004,INV-2026-8004
JE-EDGE-1004,2,2026-03-26,4000,Revenue,,846.61,Rev INV-2026-8004,INV-2026-8004
JE-EDGE-1004,3,2026-03-26,2310,GST Output,,152.39,GST INV-2026-8004,INV-2026-8004
JE-EDGE-1005,1,2026-03-24,1210,Gateway Receivable,7500.00,,Netbanking capture INV-2026-8005,INV-2026-8005
JE-EDGE-1005,2,2026-03-24,4000,Revenue,,6355.93,Rev INV-2026-8005,INV-2026-8005
JE-EDGE-1005,3,2026-03-24,2310,GST Output,,1144.07,GST INV-2026-8005,INV-2026-8005
JE-EDGE-1007,1,2026-03-28,1210,Gateway Receivable,1500.00,,Direct Invoice INV-2026-8007,INV-2026-8007
JE-EDGE-1007,2,2026-03-28,4000,Revenue,,1271.19,Rev INV-2026-8007,INV-2026-8007
JE-EDGE-1007,3,2026-03-28,2310,GST Output,,228.81,GST INV-2026-8007,INV-2026-8007
JE-EDGE-1008,1,2026-03-27,1210,Gateway Receivable,3000.00,,Card capture INV-2026-8008,INV-2026-8008
JE-EDGE-1008,2,2026-03-27,4000,Revenue,,2542.37,Rev INV-2026-8008,INV-2026-8008
JE-EDGE-1008,3,2026-03-27,2310,GST Output,,457.63,GST INV-2026-8008,INV-2026-8008
