journal_line_id,posting_date,transaction_id,debit,credit,doc_ref,memo,account_code,currency,posting_status,document_id,gl_account,entry_type,amount,control_note
GL-0001-D,2026-08-01,TXN001,1200.0,0.0,INV-1001,balanced,6001,INR,POSTED,INV-1001,6001,DEBIT,1200.0,balanced
GL-0001-C,2026-08-01,TXN001,0.0,1200.0,INV-1001,balanced,1100,INR,POSTED,INV-1001,1100,CREDIT,1200.0,balanced
GL-0002-D,2026-08-01,TXN002,850.0,0.0,INV-1002,balanced,6001,INR,POSTED,INV-1002,6001,DEBIT,850.0,balanced
GL-0002-C,2026-08-01,TXN002,0.0,850.0,INV-1002,balanced,1100,INR,POSTED,INV-1002,1100,CREDIT,850.0,balanced
GL-0003-D,2026-08-02,TXN003,430.25,0.0,INV-1003,balanced,6001,INR,POSTED,INV-1003,6001,DEBIT,430.25,balanced
GL-0003-C,2026-08-02,TXN003,0.0,430.25,INV-1003,balanced,1100,INR,POSTED,INV-1003,1100,CREDIT,430.25,balanced
GL-0004-D,2026-08-02,TXN004,2100.0,0.0,INV-1004,balanced,6001,INR,POSTED,INV-1004,6001,DEBIT,2100.0,balanced
GL-0004-C,2026-08-02,TXN004,0.0,2100.0,INV-1004,balanced,1100,INR,POSTED,INV-1004,1100,CREDIT,2100.0,balanced
GL-0005-D,2026-08-03,TXN005,3200.0,0.0,INV-1005,balanced,6001,INR,POSTED,INV-1005,6001,DEBIT,3200.0,balanced
GL-0005-C,2026-08-03,TXN005,0.0,3200.0,INV-1005,balanced,1100,INR,POSTED,INV-1005,1100,CREDIT,3200.0,balanced
GL-0006-D,2026-08-03,TXN006,1200.0,0.0,INV-1006,balanced,6001,INR,POSTED,INV-1006,6001,DEBIT,1200.0,balanced
GL-0006-C,2026-08-03,TXN006,0.0,1200.0,INV-1006,balanced,1100,INR,POSTED,INV-1006,1100,CREDIT,1200.0,balanced
GL-0007-D,2026-08-04,TXN007,15000.0,0.0,INV-1007,balanced,6001,INR,POSTED,INV-1007,6001,DEBIT,15000.0,balanced
GL-0007-C,2026-08-04,TXN007,0.0,15000.0,INV-1007,balanced,1100,INR,POSTED,INV-1007,1100,CREDIT,15000.0,balanced
GL-0008-D,2026-08-04,TXN008,999.99,0.0,INV-1008,balanced,6001,INR,POSTED,INV-1008,6001,DEBIT,999.99,balanced
GL-0008-C,2026-08-04,TXN008,0.0,999.99,INV-1008,balanced,1100,INR,POSTED,INV-1008,1100,CREDIT,999.99,balanced
GL-0009-D,2026-08-05,TXN009,2676.0,0.0,INV-1009,balanced,6001,INR,POSTED,INV-1009,6001,DEBIT,2676.0,balanced
GL-0009-C,2026-08-05,TXN009,0.0,2676.0,INV-1009,balanced,1100,INR,POSTED,INV-1009,1100,CREDIT,2676.0,balanced
GL-0010-D,2026-08-05,TXN010,85.0,0.0,INV-1010,balanced,6001,INR,POSTED,INV-1010,6001,DEBIT,85.0,balanced
GL-0010-C,2026-08-05,TXN010,0.0,85.0,INV-1010,balanced,1100,INR,POSTED,INV-1010,1100,CREDIT,85.0,balanced
GL-0011-D,2026-08-06,TXN011,5000.0,0.0,INV-1011,balanced,5001,INR,POSTED,INV-1011,5001,DEBIT,5000.0,balanced
GL-0011-C,2026-08-06,TXN011,0.0,5000.0,INV-1011,balanced,1100,INR,POSTED,INV-1011,1100,CREDIT,5000.0,balanced
GL-0012-D,2026-08-06,TXN012,7500.0,0.0,INV-1012,balanced,5001,INR,POSTED,INV-1012,5001,DEBIT,7500.0,balanced
GL-0012-C,2026-08-06,TXN012,0.0,7500.0,INV-1012,balanced,1100,INR,POSTED,INV-1012,1100,CREDIT,7500.0,balanced
GL-0013-D,2026-08-07,TXN013,3300.0,0.0,INV-1013,out_of_balance,5001,INR,POSTED,INV-1013,5001,DEBIT,3300.0,out_of_balance
GL-0013-C,2026-08-07,TXN013,0.0,3240.0,INV-1013,out_of_balance,1100,INR,POSTED,INV-1013,1100,CREDIT,3240.0,out_of_balance
GL-0014-D,2026-08-07,TXN014,0.0,0.0,INV-1014,zero_entry,5001,INR,POSTED,INV-1014,5001,DEBIT,0.0,zero_entry
GL-0014-C,2026-08-07,TXN014,0.0,0.0,INV-1014,zero_entry,1100,INR,POSTED,INV-1014,1100,CREDIT,0.0,zero_entry
GL-0015-D,2026-08-08,TXN015,150000.0,0.0,INV-1015,high_value,5001,INR,POSTED,INV-1015,5001,DEBIT,150000.0,high_value
GL-0015-C,2026-08-08,TXN015,0.0,150000.0,INV-1015,high_value,1100,INR,POSTED,INV-1015,1100,CREDIT,150000.0,high_value
GL-0016-D,2026-08-08,TXN016,650.0,0.0,INV-1016,balanced,5001,INR,POSTED,INV-1016,5001,DEBIT,650.0,balanced
GL-0016-C,2026-08-08,TXN016,0.0,650.0,INV-1016,balanced,1100,INR,POSTED,INV-1016,1100,CREDIT,650.0,balanced
GL-0017-D,2026-08-09,TXN017,850.0,0.0,INV-1017,failed_payment_reversal,5001,INR,REVERSED,INV-1017,5001,DEBIT,850.0,failed_payment_reversal
GL-0017-C,2026-08-09,TXN017,0.0,850.0,INV-1017,failed_payment_reversal,1100,INR,REVERSED,INV-1017,1100,CREDIT,850.0,failed_payment_reversal
GL-0018-D,2026-08-09,TXN018,1800.0,0.0,INV-1018,balanced,5001,INR,POSTED,INV-1018,5001,DEBIT,1800.0,balanced
GL-0018-C,2026-08-09,TXN018,0.0,1800.0,INV-1018,balanced,1100,INR,POSTED,INV-1018,1100,CREDIT,1800.0,balanced
GL-0019-D,2026-08-10,TXN019,3200.0,0.0,INV-1019,balanced,5001,INR,POSTED,INV-1019,5001,DEBIT,3200.0,balanced
GL-0019-C,2026-08-10,TXN019,0.0,3200.0,INV-1019,balanced,1100,INR,POSTED,INV-1019,1100,CREDIT,3200.0,balanced
GL-0020-D,2026-08-10,TXN020,1199.5,0.0,INV-1020,balanced,5001,INR,POSTED,INV-1020,5001,DEBIT,1199.5,balanced
GL-0020-C,2026-08-10,TXN020,0.0,1199.5,INV-1020,balanced,1100,INR,POSTED,INV-1020,1100,CREDIT,1199.5,balanced
GL-0021-D,2026-08-11,TXN021,1115.0,0.0,INV-1021,balanced,5001,INR,POSTED,INV-1021,5001,DEBIT,1115.0,balanced
